ProteinA,ProteinC,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
0,0,7.81E-06,6.48E-04,0.003274107,0.005931785,0.007399952,0.008055839,0.008349812,0.008512387,0.008626555,0.008726644,0.008819337,0.008913735,0.009003323,0.009092649,0.009178323,0.00926118,0.009339627,0.009410794,0.009478931,0.009546476,0.009605516
0,1,2.84E-06,2.36E-04,0.001190987,0.002163134,0.002708542,0.002962309,0.003085901,0.003157751,0.003209136,0.00325094,0.003286,0.003323366,0.003354237,0.003385776,0.003414337,0.003439642,0.003468442,0.003489206,0.003511457,0.003529048,0.003548037
0,2,1.06E-06,8.79E-05,4.45E-04,8.14E-04,0.001027163,0.001131795,0.001185834,0.001218109,0.001240492,0.001257744,0.001272741,0.001286049,0.001297151,0.001308089,0.001316969,0.001325643,0.001332653,0.001338675,0.001344989,0.001350428,0.001355472
0,3,7.70E-07,6.39E-05,3.25E-04,5.98E-04,7.58E-04,8.38E-04,8.80E-04,9.05E-04,9.22E-04,9.35E-04,9.47E-04,9.57E-04,9.65E-04,9.73E-04,9.79E-04,9.85E-04,9.90E-04,9.95E-04,9.99E-04,0.001002523,0.001006194
0,4,8.63E-07,7.16E-05,3.66E-04,6.75E-04,8.59E-04,9.51E-04,9.99E-04,0.001029311,0.001049729,0.001066243,0.001080409,0.00109215,0.001102737,0.001111788,0.001120038,0.001127672,0.001133973,0.001139495,0.00114451,0.001149026,0.001153226
0,5,1.13E-06,9.41E-05,4.82E-04,8.92E-04,0.001136171,0.001261182,0.001328077,0.001369469,0.00139821,0.001423035,0.001442562,0.001460144,0.001475069,0.001488022,0.001497955,0.001509513,0.001516783,0.001527369,0.001534008,0.001539572,0.00154596
0,6,1.52E-06,1.26E-04,6.45E-04,0.00119552,0.001526223,0.001696713,0.001788731,0.001847476,0.001889144,0.001922886,0.001950122,0.001973953,0.001994504,0.002012623,0.002027797,0.002042105,0.00205414,0.00206506,0.002073935,0.00208266,0.00208886
0,7,1.92E-06,1.59E-04,8.18E-04,0.001518111,0.001941067,0.002158307,0.002278639,0.002353916,0.002408407,0.002450982,0.002486886,0.00251783,0.002544969,0.002566385,0.002586507,0.002604128,0.002619734,0.002632376,0.002644341,0.002654329,0.002665058
0,8,2.25E-06,1.87E-04,9.57E-04,0.001776123,0.002271363,0.002528941,0.002669767,0.002757425,0.002821767,0.002870868,0.002914396,0.002948149,0.00298016,0.003005647,0.00302758,0.003047635,0.003064567,0.003079758,0.003092326,0.003104325,0.003114083
0,9,2.41E-06,2.00E-04,0.001024679,0.001903457,0.002432627,0.002709539,0.002859989,0.002953406,0.003021873,0.003072823,0.003118547,0.003152713,0.003186626,0.003212524,0.003237306,0.003254368,0.003273298,0.003289871,0.003300651,0.003311119,0.003322606
0,10,2.38E-06,1.97E-04,0.001006654,0.001868014,0.002391662,0.002657653,0.002805697,0.00289629,0.002960817,0.003011637,0.003051653,0.003085276,0.003115624,0.003140423,0.003161346,0.003180272,0.003196866,0.003211069,0.00322179,0.003232203,0.003242996
