protein_num,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
0,2.95E-05,2.96E-05,3.02E-05,3.09E-05,3.17E-05,3.25E-05,3.32E-05,3.38E-05,3.44E-05,3.49E-05,3.53E-05,3.57E-05,3.61E-05,3.64E-05,3.67E-05,3.69E-05,3.72E-05,3.73E-05,3.75E-05,3.77E-05,3.78E-05
1,3.01E-04,3.02E-04,3.08E-04,3.15E-04,3.22E-04,3.29E-04,3.36E-04,3.42E-04,3.48E-04,3.53E-04,3.57E-04,3.61E-04,3.64E-04,3.67E-04,3.70E-04,3.73E-04,3.75E-04,3.77E-04,3.78E-04,3.80E-04,3.81E-04
2,0.001539586,0.001546632,0.001570867,0.001604238,0.001640552,0.001675168,0.00170744,0.001736756,0.001762923,0.001786627,0.001807595,0.001825905,0.00184234,0.001856574,0.001869672,0.001881209,0.001890992,0.001900049,0.001908163,0.001915462,0.001921769
3,0.005268484,0.005289279,0.005365243,0.005469697,0.005582308,0.005692129,0.005793593,0.005886017,0.005969004,0.006042293,0.006109994,0.006167828,0.006219646,0.006265504,0.006306013,0.006341441,0.006375016,0.006402018,0.00642743,0.006450275,0.006471416
4,0.013568056,0.013617052,0.013786982,0.014028976,0.014289819,0.014545395,0.014784999,0.015000303,0.015193631,0.015366136,0.015517887,0.015656728,0.015774958,0.015885929,0.015974073,0.016064353,0.016140187,0.016204702,0.016262509,0.016315002,0.016363995
5,0.028063493,0.028144808,0.028455984,0.028892424,0.029369889,0.029836167,0.030271174,0.030670151,0.031024314,0.031338803,0.031615958,0.031875487,0.032091778,0.03228168,0.03245566,0.032612458,0.032754757,0.03287835,0.032978386,0.033086825,0.033165134
6,0.048571367,0.04869225,0.04913611,0.04977874,0.050494056,0.051185194,0.051821724,0.052420795,0.05292788,0.053418055,0.053843357,0.054198314,0.05453822,0.054823868,0.05509111,0.055302113,0.055509288,0.055699572,0.055869076,0.05599686,0.056128923
7,0.07241344,0.07253893,0.073070705,0.07384744,0.07470192,0.075572796,0.07635255,0.07707087,0.07770831,0.07829042,0.07881503,0.07925335,0.07966202,0.080015264,0.08034679,0.080634765,0.08088304,0.081108004,0.08130802,0.08146177,0.08162943
8,0.094934545,0.09506185,0.09556846,0.096324585,0.09719668,0.09804128,0.09883482,0.09956198,0.10021602,0.10079762,0.10129773,0.10173543,0.102171436,0.102539234,0.102837116,0.10313461,0.10338197,0.10360455,0.103796564,0.10399858,0.104139924
9,0.11128149,0.11136031,0.11174166,0.1123165,0.11299245,0.113635816,0.11428635,0.11484796,0.11534878,0.11583226,0.11624956,0.116558656,0.116905846,0.11718111,0.11745243,0.11766997,0.11788345,0.118056685,0.11821015,0.11834441,0.118478306
