ProteinB,ProteinC,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
0,0,4.95E-06,4.97E-06,5.06E-06,5.18E-06,5.32E-06,5.46E-06,5.61E-06,5.75E-06,5.91E-06,6.04E-06,6.17E-06,6.30E-06,6.43E-06,6.55E-06,6.65E-06,6.75E-06,6.85E-06,6.93E-06,7.02E-06,7.10E-06,7.15E-06
0,1,1.74E-06,1.75E-06,1.78E-06,1.82E-06,1.88E-06,1.94E-06,2.00E-06,2.07E-06,2.12E-06,2.18E-06,2.23E-06,2.28E-06,2.32E-06,2.36E-06,2.40E-06,2.43E-06,2.46E-06,2.49E-06,2.52E-06,2.54E-06,2.57E-06
0,2,5.93E-07,5.97E-07,6.10E-07,6.31E-07,6.58E-07,6.86E-07,7.13E-07,7.38E-07,7.61E-07,7.81E-07,8.00E-07,8.18E-07,8.32E-07,8.46E-07,8.58E-07,8.70E-07,8.79E-07,8.89E-07,8.96E-07,9.03E-07,9.09E-07
0,3,4.10E-07,4.14E-07,4.27E-07,4.47E-07,4.69E-07,4.91E-07,5.12E-07,5.31E-07,5.48E-07,5.63E-07,5.77E-07,5.89E-07,6.00E-07,6.09E-07,6.18E-07,6.25E-07,6.32E-07,6.38E-07,6.43E-07,6.47E-07,6.52E-07
0,4,4.76E-07,4.82E-07,5.01E-07,5.27E-07,5.54E-07,5.82E-07,6.07E-07,6.30E-07,6.51E-07,6.69E-07,6.86E-07,7.01E-07,7.14E-07,7.26E-07,7.36E-07,7.45E-07,7.53E-07,7.60E-07,7.66E-07,7.72E-07,7.78E-07
0,5,6.59E-07,6.69E-07,6.99E-07,7.37E-07,7.77E-07,8.16E-07,8.53E-07,8.86E-07,9.16E-07,9.45E-07,9.67E-07,9.88E-07,1.01E-06,1.02E-06,1.04E-06,1.05E-06,1.07E-06,1.07E-06,1.08E-06,1.09E-06,1.10E-06
0,6,9.19E-07,9.35E-07,9.76E-07,1.03E-06,1.09E-06,1.15E-06,1.20E-06,1.25E-06,1.29E-06,1.33E-06,1.36E-06,1.39E-06,1.42E-06,1.44E-06,1.46E-06,1.48E-06,1.50E-06,1.51E-06,1.52E-06,1.54E-06,1.55E-06
0,7,1.20E-06,1.22E-06,1.27E-06,1.35E-06,1.42E-06,1.50E-06,1.57E-06,1.63E-06,1.69E-06,1.74E-06,1.78E-06,1.82E-06,1.85E-06,1.89E-06,1.91E-06,1.94E-06,1.96E-06,1.98E-06,1.99E-06,2.01E-06,2.02E-06
0,8,1.43E-06,1.45E-06,1.52E-06,1.61E-06,1.70E-06,1.79E-06,1.87E-06,1.94E-06,2.01E-06,2.07E-06,2.12E-06,2.17E-06,2.21E-06,2.24E-06,2.28E-06,2.31E-06,2.33E-06,2.35E-06,2.37E-06,2.39E-06,2.40E-06
0,9,1.55E-06,1.58E-06,1.65E-06,1.74E-06,1.84E-06,1.94E-06,2.03E-06,2.10E-06,2.18E-06,2.24E-06,2.29E-06,2.34E-06,2.39E-06,2.43E-06,2.46E-06,2.49E-06,2.51E-06,2.54E-06,2.56E-06,2.57E-06,2.59E-06
0,10,1.55E-06,1.57E-06,1.64E-06,1.73E-06,1.83E-06,1.92E-06,2.01E-06,2.08E-06,2.15E-06,2.21E-06,2.27E-06,2.31E-06,2.35E-06,2.39E-06,2.42E-06,2.45E-06,2.47E-06,2.50E-06,2.51E-06,2.53E-06,2.55E-06
0,11,1.42E-06,1.44E-06,1.50E-06,1.58E-06,1.67E-06,1.75E-06,1.83E-06,1.89E-06,1.95E-06,2.01E-06,2.05E-06,2.10E-06,2.13E-06,2.16E-06,2.19E-06,2.21E-06,2.23E-06,2.25E-06,2.27E-06,2.28E-06,2.30E-06
0,12,1.21E-06,1.22E-06,1.28E-06,1.34E-06,1.41E-06,1.48E-06,1.54E-06,1.60E-06,1.65E-06,1.69E-06,1.73E-06,1.76E-06,1.79E-06,1.81E-06,1.83E-06,1.85E-06,1.87E-06,1.88E-06,1.90E-06,1.91E-06,1.92E-06
0,13,9.78E-07,9.84E-07,1.02E-06,1.07E-06,1.12E-06,1.17E-06,1.22E-06,1.26E-06,1.29E-06,1.33E-06,1.35E-06,1.38E-06,1.40E-06,1.42E-06,1.43E-06,1.45E-06,1.46E-06,1.47E-06,1.48E-06,1.48E-06,1.49E-06
0,14,7.54E-07,7.54E-07,7.75E-07,8.09E-07,8.46E-07,8.81E-07,9.12E-07,9.40E-07,9.64E-07,9.85E-07,1.00E-06,1.02E-06,1.03E-06,1.04E-06,1.05E-06,1.06E-06,1.07E-06,1.08E-06,1.08E-06,1.09E-06,1.09E-06
0,15,5.67E-07,5.64E-07,5.73E-07,5.93E-07,6.16E-07,6.38E-07,6.57E-07,6.73E-07,6.88E-07,7.01E-07,7.12E-07,7.21E-07,7.29E-07,7.36E-07,7.42E-07,7.46E-07,7.50E-07,7.55E-07,7.57E-07,7.59E-07,7.63E-07
0,16,4.28E-07,4.22E-07,4.22E-07,4.31E-07,4.43E-07,4.55E-07,4.65E-07,4.74E-07,4.82E-07,4.89E-07,4.94E-07,4.99E-07,5.03E-07,5.06E-07,5.08E-07,5.11E-07,5.12E-07,5.15E-07,5.16E-07,5.16E-07,5.17E-07
0,17,3.36E-07,3.29E-07,3.21E-07,3.22E-07,3.26E-07,3.31E-07,3.36E-07,3.40E-07,3.43E-07,3.45E-07,3.47E-07,3.49E-07,3.50E-07,3.50E-07,3.51E-07,3.51E-07,3.52E-07,3.52E-07,3.52E-07,3.52E-07,3.52E-07
0,18,2.85E-07,2.77E-07,2.64E-07,2.59E-07,2.58E-07,2.58E-07,2.59E-07,2.59E-07,2.59E-07,2.59E-07,2.58E-07,2.58E-07,2.57E-07,2.56E-07,2.55E-07,2.55E-07,2.54E-07,2.53E-07,2.52E-07,2.52E-07,2.51E-07
0,19,2.65E-07,2.58E-07,2.41E-07,2.32E-07,2.27E-07,2.24E-07,2.21E-07,2.19E-07,2.17E-07,2.15E-07,2.13E-07,2.11E-07,2.09E-07,2.08E-07,2.06E-07,2.04E-07,2.03E-07,2.01E-07,2.00E-07,1.99E-07,1.98E-07
0,20,2.70E-07,2.63E-07,2.45E-07,2.32E-07,2.24E-07,2.18E-07,2.14E-07,2.10E-07,2.06E-07,2.03E-07,2.00E-07,1.96E-07,1.94E-07,1.91E-07,1.89E-07,1.86E-07,1.84E-07,1.82E-07,1.80E-07,1.78E-07,1.77E-07
0,21,2.92E-07,2.87E-07,2.68E-07,2.52E-07,2.41E-07,2.34E-07,2.27E-07,2.22E-07,2.17E-07,2.12E-07,2.08E-07,2.04E-07,2.00E-07,1.96E-07,1.93E-07,1.90E-07,1.87E-07,1.84E-07,1.82E-07,1.80E-07,1.78E-07
0,22,3.27E-07,3.23E-07,3.04E-07,2.87E-07,2.74E-07,2.64E-07,2.56E-07,2.49E-07,2.42E-07,2.36E-07,2.30E-07,2.25E-07,2.20E-07,2.16E-07,2.12E-07,2.08E-07,2.04E-07,2.01E-07,1.98E-07,1.95E-07,1.93E-07
