protein_num,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
0,0.17179692,0.17179413,0.17179279,0.1719188,0.1721809,0.17276777,0.17367458,0.17484342,0.1761997,0.17776929,0.17938578,0.18098162,0.18260662,0.18422244,0.18577154,0.18729697,0.18872446,0.19008482,0.19139771,0.19259034,0.19373606
1,0.06242145,0.062444177,0.062481377,0.06265186,0.06302407,0.06355983,0.06418983,0.064881995,0.06553275,0.06620237,0.06684897,0.06746321,0.06805249,0.06859183,0.0691248,0.06961165,0.07005383,0.070463,0.07086352,0.07123128,0.071553886
2,0.023167694,0.023203267,0.023302827,0.023540793,0.023883855,0.02427446,0.02466064,0.0250073,0.02532376,0.025598321,0.02585473,0.02607848,0.026280481,0.026456032,0.026624765,0.026764985,0.026896106,0.027012974,0.027114393,0.027209481,0.027299142
3,0.016637877,0.016709577,0.016907567,0.01721354,0.01756488,0.017917477,0.018235011,0.018515676,0.018761901,0.018979497,0.019164277,0.019330867,0.019477306,0.019608151,0.01972303,0.019824842,0.019913597,0.019989047,0.02006792,0.020129655,0.020180622
4,0.018413136,0.01855359,0.0188973,0.019345399,0.019813078,0.020239765,0.020627756,0.020972142,0.021272726,0.021543028,0.021773081,0.021987395,0.022164227,0.022324627,0.02246645,0.022590451,0.022706527,0.02280344,0.022890214,0.022968102,0.023041695
5,0.023967287,0.024198778,0.024770625,0.025451845,0.026134057,0.026757717,0.02732754,0.027829032,0.028267372,0.028654128,0.028989146,0.029290318,0.029547418,0.02977582,0.02997964,0.030158602,0.030312417,0.030453958,0.030573433,0.030683223,0.030780973
6,0.03188369,0.03221292,0.033058915,0.03405954,0.03504359,0.035947647,0.036764644,0.037478767,0.038106706,0.03865082,0.03913146,0.039553046,0.039907068,0.04022631,0.04050139,0.040746376,0.040956162,0.041144647,0.04130269,0.04144447,0.04157095
7,0.04035145,0.04078682,0.04190101,0.04322943,0.044526502,0.04572662,0.04680364,0.047740072,0.048560593,0.049269095,0.049883932,0.050412055,0.050889567,0.051271565,0.05162928,0.051921412,0.05219464,0.05242305,0.05262409,0.052797884,0.05294547
8,0.04722187,0.047705803,0.049038716,0.050615083,0.052169755,0.053590383,0.054869585,0.055963363,0.056927048,0.057763893,0.058467124,0.0590759,0.059617102,0.06006739,0.06044208,0.060796246,0.06108294,0.061323367,0.06155296,0.061761566,0.061922032
9,0.050720762,0.051195953,0.052599218,0.054298174,0.05596939,0.05748151,0.05884389,0.05999222,0.061008476,0.061868902,0.06259541,0.0632094,0.06377402,0.06424173,0.06464293,0.06498755,0.06526896,0.06553368,0.065759294,0.0659167,0.06609606
10,0.050089646,0.050498635,0.05182737,0.053471673,0.055082507,0.05655903,0.05784311,0.05893433,0.05987869,0.060705353,0.061377298,0.061960246,0.06245535,0.06287787,0.06323656,0.06354508,0.06380563,0.064030305,0.06423966,0.06440947,0.064555205
11,0.045765728,0.04605407,0.04718856,0.048628286,0.050035864,0.051309466,0.052428972,0.05335275,0.054161534,0.054839462,0.055411313,0.05587761,0.05628323,0.056647617,0.056940686,0.057192065,0.057406314,0.057589978,0.057725,0.057850633,0.057979982
12,0.039031763,0.03917118,0.04001877,0.04115542,0.04227003,0.043267783,0.044122525,0.044843223,0.045452226,0.04596742,0.046390228,0.046743225,0.04703346,0.047297604,0.04750252,0.047670458,0.04782411,0.047953837,0.048067234,0.04813532,0.04821755
13,0.03140938,0.03140139,0.03192902,0.032725357,0.03351997,0.034217663,0.034811564,0.03530192,0.035708424,0.03604738,0.036327045,0.036552027,0.03674616,0.036902044,0.037023112,0.03713173,0.0372233,0.037285216,0.037345093,0.037394907,0.037429057
14,0.024209736,0.02407175,0.024297867,0.024765283,0.025252786,0.02567675,0.02603461,0.026317177,0.026551332,0.026736958,0.026886752,0.027002668,0.027098747,0.027173635,0.027227724,0.027270168,0.027308056,0.027334286,0.027359303,0.027376607,0.027375022
15,0.018241435,0.018011604,0.017961485,0.01814667,0.018375777,0.018585699,0.018748146,0.018870179,0.01896227,0.01903098,0.019082911,0.019111563,0.019138195,0.019151175,0.019159162,0.019155258,0.019148154,0.01914549,0.019135835,0.019126872,0.019114336
16,0.013826137,0.013538723,0.013260226,0.013221887,0.013251429,0.013287854,0.013312283,0.013318765,0.013312775,0.013296769,0.013274279,0.01325069,0.013221982,0.013192305,0.013159853,0.013134201,0.013097752,0.013072564,0.013039179,0.013018756,0.012990765
17,0.010929408,0.010613627,0.010160436,0.009937907,0.009817603,0.00972898,0.009654235,0.009578613,0.009506201,0.009433389,0.009364573,0.009298812,0.009237485,0.009177652,0.009124432,0.009070456,0.009024576,0.008981057,0.008939449,0.008900899,0.008866505
18,0.009332216,0.00901273,0.008425894,0.008053327,0.007815471,0.007637037,0.007487625,0.007353719,0.007232426,0.007119364,0.007018134,0.006923556,0.006837239,0.006758024,0.006683481,0.006619021,0.006559458,0.006504094,0.006450387,0.006406451,0.006366106
19,0.008762547,0.008459745,0.007774651,0.007276853,0.006938827,0.006683376,0.00647171,0.006291117,0.006128945,0.005982523,0.005851048,0.005731135,0.005624209,0.005525935,0.005437268,0.005357453,0.005284134,0.005217876,0.005159125,0.005104905,0.005056317
20,0.00897693,0.00870034,0.0079489,0.007341284,0.006906949,0.006577262,0.006307738,0.006076851,0.005873936,0.00569309,0.005529588,0.005383959,0.005253113,0.005133884,0.005026768,0.004930679,0.004842556,0.004764678,0.004693459,0.004629436,0.00457157
21,0.009768311,0.009525093,0.008736429,0.008029953,0.007500724,0.007091802,0.006756724,0.006470318,0.006219074,0.005996442,0.005797325,0.005618691,0.005457558,0.005313578,0.005183541,0.005066124,0.004960749,0.004865655,0.004780974,0.004703332,0.004634436
22,0.010968212,0.010761054,0.009960837,0.00916658,0.008542146,0.008049311,0.007637385,0.007287361,0.006977603,0.006704101,0.006460601,0.006241891,0.006046571,0.005870387,0.00571123,0.005569106,0.005440741,0.005326387,0.005222829,0.005128686,0.005044897
23,0.012422566,0.012253637,0.011460783,0.010597169,0.009876994,0.00929259,0.008798726,0.008373885,0.008000762,0.007669551,0.007374083,0.007107971,0.006872491,0.006658308,0.006466176,0.006294122,0.006138727,0.006002501,0.005875745,0.005763504,0.005662588
24,0.013983646,0.013842176,0.01308721,0.012167387,0.011360364,0.010681354,0.010105044,0.009599532,0.009155271,0.008762044,0.008408276,0.008093909,0.007813411,0.007559748,0.007330161,0.007125163,0.00694135,0.00677895,0.006628317,0.00649551,0.006373654
25,0.015483043,0.015368995,0.014672353,0.013722648,0.012842104,0.012076564,0.011413704,0.010830632,0.010320129,0.009860028,0.009451756,0.00908796,0.008758044,0.008463887,0.008201391,0.00796165,0.007746952,0.007556813,0.007385448,0.007228633,0.007090071
26,0.016778879,0.016694086,0.016059179,0.015110157,0.014174623,0.013334744,0.012598776,0.011949159,0.011367114,0.010849819,0.010386738,0.009974734,0.009604671,0.009273,0.008974264,0.008706118,0.008464614,0.008248625,0.008054937,0.007881502,0.007725182
27,0.017734187,0.017669257,0.017105702,0.016180338,0.015224614,0.014333,0.013535256,0.012822452,0.012193896,0.011631403,0.011123162,0.010667474,0.010264202,0.009900911,0.009574063,0.009282379,0.009019346,0.008781912,0.008570838,0.008380962,0.008207285
28,0.018244164,0.018193645,0.017709838,0.016835393,0.015869737,0.014959198,0.014126222,0.013378859,0.012707549,0.012107323,0.011573313,0.011098075,0.010664081,0.010280526,0.009934739,0.009623571,0.009345588,0.009094679,0.008868734,0.008668074,0.008486337
